record_type,version,gen_date,model,desc,fcst_lead,fcst_valid,obs_lead,obs_valid,fcst_init,obs_init,mode,fcst_var,fcst_lev,obs_var,obs_lev,fcst_units,obs_units,fcst_thresh,obs_thresh,cov_thresh,alpha,line_type,total,fbias,fbar,obar,fbar_ncl,obar_ncl,fbar_tcl,obar_tcl,acc,mse,rmse,mse_ss,mae,me,cop,add,mul,sdbar,me2,anom_corr,me_tss,me_tss_acc,me_tss_rmse,source_file,valid,bias,hss,ets,mr,far,csi,gerrity,hss_ec,fy_oy,fy_on,fn_oy,fn_on
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CNT,10000.0,0.04,7.0,5.0,4.0,4.5,5.0,4.2,0.65,25.0,5.0,0.5,4.0,0.2,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_000000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,0.02,0.45,0.3495,0.15,0.2,0.4495,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,,,,,,,,,569.0,182.0,272.0,8934.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CNT,10000.0,0.04,7.0,5.0,4.0,4.5,5.0,4.2,0.65,25.0,5.0,0.5,4.0,0.2,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_000000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,0.02,0.45,0.345,0.15,0.2,0.445,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,,,,,,,,,569.0,182.0,272.0,8934.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CNT,10000.0,0.04,7.0,5.0,4.0,4.5,5.0,4.2,0.65,25.0,5.0,0.5,4.0,0.2,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_000000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,0.02,0.45,0.325,0.15,0.2,0.425,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt5,gt5,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,,,,,,,,,565.0,183.0,274.0,8932.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt10,gt10,NA,0.05,CNT,10000.0,0.04,7.0,5.0,4.0,4.5,5.0,4.2,0.65,25.0,5.0,0.5,4.0,0.2,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_000000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt10,gt10,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,0.02,0.45,0.3,0.15,0.2,0.4,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt10,gt10,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,,,,,,,,,560.0,185.0,276.0,8930.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt20,gt20,NA,0.05,CNT,10000.0,0.04,7.0,5.0,4.0,4.5,5.0,4.2,0.65,25.0,5.0,0.5,4.0,0.2,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_000000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt20,gt20,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,0.02,0.45,0.25,0.15,0.2,0.35,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt20,gt20,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,,,,,,,,,550.0,187.0,280.0,8925.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt50,gt50,NA,0.05,CNT,10000.0,0.04,7.0,5.0,4.0,4.5,5.0,4.2,0.65,25.0,5.0,0.5,4.0,0.2,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_000000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt50,gt50,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,0.02,0.45,0.1,0.15,0.2,0.2,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_000000,000000,20260727_000000,20260726_120000,20260726_120000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt50,gt50,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_000000,,,,,,,,,520.0,195.0,292.0,8910.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CNT,10000.0,0.045,6.893,4.893,3.893,4.393,4.893,4.093,0.6571,23.94,4.893,0.5,3.914,0.225,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_010000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,0.023,0.45,0.3531,0.15,0.2,0.4531,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt0.1,gt0.1,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,,,,,,,,,570.0,182.0,271.0,8935.0
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CNT,10000.0,0.045,6.893,4.893,3.893,4.393,4.893,4.093,0.6571,23.94,4.893,0.5,3.914,0.225,0.9,0.1,1.0,0.5,0.2,0.1,0.05,0.04,0.03,grid_stat_20260727.stat,20260727_010000,,,,,,,,,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CTS,10000.0,,,,,,,,0.85,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,0.023,0.45,0.3486,0.15,0.2,0.4486,0.3,0.4,,,,
STAT,V12.0.0,20260820_055425,INANWP,NA,000000,20260727_010000,000000,20260727_010000,20260726_130000,20260726_130000,NA,RAINNC,"(*,*)",hourlyPrecipRateGC,"(*,*)",mm,mm,gt1,gt1,NA,0.05,CTC,10000.0,,,,,,,,,,,,,,,,,,,,,,,grid_stat_20260727.stat,20260727_010000,,,,,,,,,569.0,182.0,272.0,8934.0
